Grapheme	Frequency	Codepoint	UnicodeName
fl~	2	U+0066, U+006C, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER L, TILDE
fr~	1	U+0066, U+0072, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER R, TILDE
fs~	2	U+0066, U+0073, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER S, TILDE
fv~	6	U+0066, U+0076, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER V, TILDE
fw~	118	U+0066, U+0077, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER W, TILDE
fy~	37	U+0066, U+0079, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER Y, TILDE
g	17403	U+0067	LATIN SMALL LETTER G
G	146	U+0047	LATIN CAPITAL LETTER G
g!~	8	U+0067, U+0021, U+007E	LATIN SMALL LETTER G, EXCLAMATION MARK, TILDE
g"	11	U+0067, U+0022	LATIN SMALL LETTER G, QUOTATION MARK
g7~	9	U+0067, U+0037, U+007E	LATIN SMALL LETTER G, DIGIT SEVEN, TILDE
gb~	306	U+0067, U+0062, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER B, TILDE
gbm$	1	U+0067, U+0062, U+006D, U+0024	LATIN SMALL LETTER G, LATIN SMALL LETTER B, LATIN SMALL LETTER M, DOLLAR SIGN
gbw$	4	U+0067, U+0062, U+0077, U+0024	LATIN SMALL LETTER G, LATIN SMALL LETTER B, LATIN SMALL LETTER W, DOLLAR SIGN
gby$	2	U+0067, U+0062, U+0079, U+0024	LATIN SMALL LETTER G, LATIN SMALL LETTER B, LATIN SMALL LETTER Y, DOLLAR SIGN
gh~	95	U+0067, U+0068, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER H, TILDE
gk~	1	U+0067, U+006B, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER K, TILDE
gl~	5	U+0067, U+006C, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER L, TILDE
gn~	3	U+0067, U+006E, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER N, TILDE
gN~	2	U+0067, U+004E, U+007E	LATIN SMALL LETTER G, LATIN CAPITAL LETTER N, TILDE
gr~	1	U+0067, U+0072, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER R, TILDE
gv~	7	U+0067, U+0076, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER V, TILDE
gw~	534	U+0067, U+0077, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER W, TILDE
Gw~	1	U+0047, U+0077, U+007E	LATIN CAPITAL LETTER G, LATIN SMALL LETTER W, TILDE
gwh$	1	U+0067, U+0077, U+0068, U+0024	LATIN SMALL LETTER G, LATIN SMALL LETTER W, LATIN SMALL LETTER H, DOLLAR SIGN
gx~	3	U+0067, U+0078, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER X, TILDE
GX~	1	U+0047, U+0058, U+007E	LATIN CAPITAL LETTER G, LATIN CAPITAL LETTER X, TILDE
gy~	188	U+0067, U+0079, U+007E	LATIN SMALL LETTER G, LATIN SMALL LETTER Y, TILDE
h	19065	U+0068	LATIN SMALL LETTER H
h"	13	U+0068, U+0022	LATIN SMALL LETTER H, QUOTATION MARK
h"w~	1	U+0068, U+0022, U+0077, U+007E	LATIN SMALL LETTER H, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
h5~	5	U+0068, U+0035, U+007E	LATIN SMALL LETTER H, DIGIT FIVE, TILDE
h7~	4	U+0068, U+0037, U+007E	LATIN SMALL LETTER H, DIGIT SEVEN, TILDE
hc~	2	U+0068, U+0063, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER C, TILDE
hC~	1	U+0068, U+0043, U+007E	LATIN SMALL LETTER H, LATIN CAPITAL LETTER C, TILDE
hk~	18	U+0068, U+006B, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER K, TILDE
hkw$	4	U+0068, U+006B, U+0077, U+0024	LATIN SMALL LETTER H, LATIN SMALL LETTER K, LATIN SMALL LETTER W, DOLLAR SIGN
hl~	11	U+0068, U+006C, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER L, TILDE
hm~	12	U+0068, U+006D, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER M, TILDE
hn~	26	U+0068, U+006E, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER N, TILDE
hN~	1	U+0068, U+004E, U+007E	LATIN SMALL LETTER H, LATIN CAPITAL LETTER N, TILDE
hnt$	1	U+0068, U+006E, U+0074, U+0024	LATIN SMALL LETTER H, LATIN SMALL LETTER N, LATIN SMALL LETTER T, DOLLAR SIGN
hp~	6	U+0068, U+0070, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER P, TILDE
hq~	1	U+0068, U+0071, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER Q, TILDE
hr~	7	U+0068, U+0072, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER R, TILDE
hry$	2	U+0068, U+0072, U+0079, U+0024	LATIN SMALL LETTER H, LATIN SMALL LETTER R, LATIN SMALL LETTER Y, DOLLAR SIGN
hs~	3	U+0068, U+0073, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER S, TILDE
