originals	tokenized
tou	t o u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
taw	t a w
taumata	t a u m a t a
taw	t a w
taumata	t a u m a t a
tau	t a u
taumata	t a u m a t a
manusia	m a n u s i a
tau7	t a u 7
tau	t a u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
to	t o
to	t o
to	t o
tonya	t o n y a
taumata	t a u m a t a
mia	m i a
tau	t a u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
todapa	t o d a p a
mie	m i e
tono	t o n o
tono	t o n o
tono	t o n o
tono	t o n o
tono	t o n o
mia	m i a
tou	t o u
to	t o
tow	t o w
tow	t o w
tou	t o u
tow	t o w
tau	t a u
mia	m i a
mia	m i a
tauna	t a u n a
mia	m i a
tono	t o n o
tono	t o n o
mie	m i e
mia	m i a
mia	m i a
mia	m i a
ito	i t o
kax	k a x
halak	h a l a k
halak	h a l a k
ekabake	e k a b a k e
kalak	k a l a k
kax	k a x
niha	n i h a
niha	n i h a
ata	a t a
ata	a t a
hata	h a t a
halak	h a l a k
jalma	j a l m a
mamusa	m a m u s a
Cau	C a u
ocao	o c a o
cau	c a u
omas7~	o m a s7~
cuco7o	c u c o 7 o
cou	c o u
Ca7	C a 7
osnok	o s n o k
sud	s u d
on	o n
onon	o n o n
on	o n
onum	o n u m
do	d o
detro	d e t r o
dotro	d o t r o
kyu	k y u
yEno7ono	y E n o 7 o n o
opoloimi	o p o l o i m i
kobo	k o b o
aru	a r u
maba	m a b a
mamb~a	m a mb~ a
malav	m a l a v
kir	k i r
knigiN	k n i g i N
knigir	k n i g i r
du	d u
kir	k i r
owak	o w a k
t3nda	t 3 n d a
kolu	k o l u
sau	s a u
tolo*	t o l o*
tono	t o n o
kh~elu	kh~ e l u
kalu	k a l u
sena kesale	s e n a   k e s a l e
senE	s e n E
inolo	i n o l o
oseno	o s e n o
nuwwa	n u w w a
nuwwa	n u w w a
omgo	o m g o
orup	o r u p
haimo	h a i m o
roi	r o i
nanin	n a n i n
da	d a
nata	n a t a
hoela	h o e l a
karu	k a r u
de3	d e 3
hoela	h o e l a
de3	d e 3
doeo	d o e o
doe	d o e
haela	h a e l a
deo	d e o
haela	h a e l a
haela	h a e l a
karu	k a r u
leo	l e o
karu	k a r u
karu	k a r u
laea	l a e a
karu	k a r u
doeo	d o e o
a7a	a 7 a
arua7u	a r u a 7 u
o	o
os	o s
os	o s
o	o
odo	o d o
os	o s
oso	o s o
munje	m u n j e
hanemyn	h a n e m y n
debla	d e b l a
nebetEi	n e b e t E i
mapirie	m a p i r i e
yo	y o
yo	y o
obi	o b i
dubu	d u b u
dubu	d u b u
obobo	o b o b o
mere	m e r e
mereha	m e r e h a
dubu	d u b u
dubu	d u b u
mere	m e r e
cyin	c y i n
Ci	C i
mixana	m i x a n a
e	e
ana	a n a
tali7	t a l i 7
ribi	r i b i
ta	t a
soku txaix	s o k u   t x a i x
tE	t E
tu	t u
nd~i	nd~ i
ti	t i
te	t e
te	t e
ta	t a
ta	t a
tawe	t a w e
dubu	d u b u
nuworE	n u w o r E
tro	t r o
tere	t e r e
tedi	t e d i
tere	t e r e
tai	t a i
noka	n o k a
noko	n o k o
nau	n a u
no	n o
noga	n o g a
nogaina	n o g a i n a
no	n o
ElEgobuwo	E l E g o b u w o
to	t o
to iwa	t o   i w a
ra	r a
v3ra	v 3 r a
wuxu	w u x u
wanik	w a n i k
namot	n a m o t
namot	n a m o t
noranan	n o r a n a n
nor	n o r
nor	n o r
yarmas3nar	y a r m a s 3 n a r
namarawt	n a m a r a w t
narmang	n a r m a n g
guma	g u m a
guma	g u m a
kaniau	k a n i a u
Ngae	N g a e
rade	r a d e
anem	a n e m
kae	k a e
danet	d a n e t
irowo	i r o w o
nd~anetu	nd~ a n e t u
dantu	d a n t u
lomo	l o m o
nam	n a m
omb	o m b
nam	n a m
nam	n a m
inambo	i n a m b o
orca	o r c a
oca	o c a
ra	r a
pra	p r a
aneppor	a n e p p o r
aneppor	a n e p p o r
anyepor	a n y e p o r
sisEu	s i s E u
soli	s o l i
soli	s o l i
hru	h r u
nutu	n u t u
xana	x a n a
xanip	x a n i p
toNkwar	t o N k w a r
arab	a r a b
arop	a r o p
ar3p	a r 3 p
arop	a r o p
mapa	m a p a
yanindia	y a n i n d i a
yani	y a n i
nam	n a m
hima	h i m a
ma	m a
dw~o	dw~ o
dw~	dw~
dw~	dw~
rw	r w
dw~	dw~
dw~	dw~
dw~	dw~
dw~o	dw~ o
rameyEn	r a m e y E n
rEm3	r E m 3
yimar	y i m a r
ima	i m a
wiyak	w i y a k
sanopo	s a n o p o
yen	y e n
uwrsaney	u w r s a n e y
lu	l u
ka	k a
kanin	k a n i n
daka	d a k a
wa	w a
wa	w a
wa	w a
ba	b a
ba	b a
kebane	k e b a n e
ja7ara	j a 7 a r a
bidi	b i d i
wi*	w i*
lame	l a m e
aNtane	a N t a n e
araman	a r a m a n
elpe5	e l p e 5
moule	m o u l e
eiN	e i N
sambe	s a m b e
samba	s a m b a
mehlipming	m e h l i p m i n g
mahlipmiN	m a h l i p m i N
halip	h a l i p
tuna	t u n a
turar	t u r a r
melnum	m e l n u m
amay	a m a y
mEtEnE	m E t E n E
mEtEnE	m E t E n E
mEtEnE	m E t E n E
mekedi	m e k e d i
kama5	k a m a 5
kamarandon	k a m a r a n d o n
marndin	m a r n d i n
hamote	h a m o t e
mas3n	m a s 3 n
mana	m a n a
finona	f i n o n a
finozo	f i n o z o
ama	a m a
amakang	a m a k a n g
tai bikil	t a i   b i k i l
nami	n a m i
nama	n a m a
nenu	n e n u
nama	n a m a
nomi	n o m i
uiaxo	u i a x o
unamuN	u n a m u N
uyaxo7	u y a x o 7
omo	o m o
alma	a l m a
nam3l	n a m 3 l
oninok	o n i n o k
aninok	a n i n o k
inok	i n o k
aninou	a n i n o u
aname	a n a m e
wa7ang	w a 7 a n g
uy	u y
u7iaq	u 7 i a q
uyaq	u y a q
ama	a m a
aname	a n a m e
aniN	a n i N
aniNkaN	a n i N k a N
aniN	a n i N
ma7aru	m a 7 a r u
anu	a n u
tou	t o u
a7mam3ya	a 7 m a m 3 y a
uta	u t a
a7ma	a 7 m a
a7ma7	a 7 m a 7
a7mwe	a 7 m w e
omo7o	o m o 7 o
avo	a v o
a7me	a 7 m e
ama7a	a m a 7 a
a7me	a 7 m e
avo	a v o
3maq3	3 m a q 3
amaqa	a m a q a
a7mwa	a 7 m w a
afa	a f a
a7mny3	a 7 m n y 3
asmat	a s m a t
kawenak	k a w e n a k
jipir	j i p i r
tor	t o r
kawey	k a w e y
kai	k a i
kawey	k a w e y
kuap	k u a p
xo	x o
yanop	y a n o p
rigap	r i g a p
nogho	n o g h o
iobutu	i o b u t u
kagup	k a g u p
ho7	h o 7
embo	e m b o
e*bo	e* b o
erama	e r a m a
ana*bo	a n a* b o
emo	e m o
yopal	y o p a l
Ebol	E b o l
una	u n a
yomb~a	y o mb~ a
wamb~	w a mb~
yi	y i
wene	w e n e
ap	a p
ap	a p
ap	a p
apqumi	a p q u m i
ap	a p
ap	a p
ap	a p
ap	a p
ap	a p
apmaduk	a p m a d u k
omi*	o m i*
anoa	a n o a
ve	v e
evene7	e v e n e 7
ani	a n i
wEukeni	w E u k e n i
wasanawe	w a s a n a w e
wananaye	w a n a n a y e
vegena7	v e g e n a 7
ina7	i n a 7
vh~e7	vh~ e 7
wenena	w e n e n a
hakiati	h a k i a t i
vevena	v e v e n a
weina	w e i n a
de	d e
gano	g a n o
kano	k a n o
vayana	v a y a n a
end~akali	e nd~ a k a l i
pipolo	p i p o l o
mbirale	m b i r a l e
mbirale	m b i r a l e
ona	o n a
komeli	k o m e l i
wambu	w a m b u
kh~omeli	kh~ o m e l i
hali	h a l i
abano	a b a n o
3min	3 m i n
ecemb~a	e c e mb~ a
aci	a c i
NiNg~o	N i Ng~ o
NiNiga7	N i N i g a 7
omin	o m i n
ama	a m a
3mnan3r3wa	3 m n a n 3 r 3 w a
amin	a m i n
am3n	a m 3 n
barue	b a r u e
e baru	e   b a r u
ema	e m a
ata	a t a
ata	a t a
ata	a t a
maraha	m a r a h a
maraha	m a r a h a
bia	b i a
e	e
amena	a m e n a
b3	b 3
emegi	e m e g i
ara	a r a
mriga	m r i g a
wanaNso kinimso	w a n a N s o   k i n i m s o
katuk	k a t u k
katuk	k a t u k
yEno7	y E n o 7
katuk	k a t u k
nakh~a	n a kh~ a
qara	q a r a
katuk	k a t u k
man	m a n
kon	k o n
qara	q a r a
tanum	t a n u m
man	m a n
unaN kinum	u n a N   k i n u m
yEno7	y E n o 7
nakaite	n a k a i t e
ali	a l i
me	m e
wone	w o n e
wamE	w a m E
mekenya	m e k e n y a
doxam	d o x a m
som	s o m
tomndi	t o m n d i
tun	t u n
kindZan	k i n d Z a n
bEo	b E o
bEro	b E r o
tuNw~atu	t u Nw~ a t u
man	m a n
mamir	m a m i r
ye	y e
rae	r a e
manusia	m a n u s i a
5awa	5 a w a
5awa	5 a w a
nyawa	n y a w a
gomatela	g o m a t e l a
manusia	m a n u s i a
nyawa	n y a w a
manusia	m a n u s i a
5awa	5 a w a
manCa	m a n C a
ngowa7a	n g o w a 7 a
nyawa	n y a w a
nyawa	n y a w a
manCa	m a n C a
manCa	m a n C a
menCa	m e n C a
mansia	m a n s i a
manusia	m a n u s i a
5awa	5 a w a
manCa	m a n C a
manCia	m a n C i a
na	n a
ph~am	ph~ a m
ph~am	ph~ a m
ph~am	ph~ a m
le	l e
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
r3ga	r 3 g a
ruga	r u g a
hoh	h o h
batan	b a t a n
batan	b a t a n
batan	b a t a n
batan	b a t a n
batan	b a t a n
batan	b a t a n
pi	p i
gurama	g u r a m a
yuwulu	y u w u l u
gugaliya	g u g a l i y a
wori	w o r i
muNgowi	m u N g o w i
Tiyili5	T i y i l i 5
TiriNi	T i r i N i
muLkgiTi	m u L k g i T i
bi	b i
gidimarg	g i d i m a r g
bini5	b i n i 5
bini5	b i n i 5
bini5	b i n i 5
bini5	b i n i 5
bini5	b i n i 5
kigerak	k i g e r a k
awuLu	a w u L u
warkbi	w a r k b i
geiag	g e i a g
ararkpi	a r a r k p i
mayi	m a y i
biliwira	b i l i w i r a
muLgiTi	m u L g i T i
malam	m a l a m
wariyi	w a r i y i
kadu	k a d u
lakara	l a k a r a
bigur	b i g u r
yul	y u l
wuruj	w u r u j
ambori5	a m b o r i 5
yura	y u r a
me	m e
nala	n a l a
ty~erty~e	ty~ e r ty~ e
ty~erty~e	ty~ e r ty~ e
yura	y u r a
madi	m a d i
mari	m a r i
yulNu	y u l N u
wimpaty~a	w i m p a ty~ a
yulNu	y u l N u
kana	k a n a
kono	k o n o
beN	b e N
wuTu	w u T u
yolNu	y o l N u
yolNu	y o l N u
yul	y u l
yulNi	y u l N i
bama	b a m a
mari	m a r i
giwir	g i w i r
daNga	d a N g a
Nangan	N a n g a n
mibi5	m i b i 5
yulNo	y u l N o
yulNu	y u l N u
Nobomb~o	N o b o mb~ o
Numpit	N u m p i t
bama	b a m a
mabaig	m a b a i g
mabaiga	m a b a i g a
abm	a b m
eyterty~e	e y t e r ty~ e
patu	p a t u
anaNu	a n a N u
bama	b a m a
pama	p a m a
abma	a b m a
Nata	N a t a
mukamu	m u k a m u
pama	p a m a
ba	b a
bE	b E
ma	m a
wuNi	w u N i
wuduNi	w u d u N i
yudNu	y u d N u
punt~u	p u nt~ u
matu	m a t u
yulNu	y u l N u
madi	m a d i
na5ara	n a 5 a r a
puntu	p u n t u
yirman	y i r m a n
wamb~i	w a mb~ i
nakir	n a k i r
pa5dy$il	p a 5dy$ i l
pa5dy$il	p a 5dy$ i l
yaku5	y a k u 5
pa5dy$il	p a 5dy$ i l
yalmir	y a l m i r
yanaNu	y a n a N u
maiaga	m a i a g a
pa5dy$il	p a 5dy$ i l
yalmir	y a l m i r
anmanu	a n m a n u
puguda	p u g u d a
marNu	m a r N u
diNa	d i N a
yuNa	y u N a
4aNa	4 a N a
5unga	5 u n g a
mamarap	m a m a r a p
yuNa	y u N a
4aNa	4 a N a
5unga	5 u n g a
5uNa	5 u N a
4uNga	4 u N g a
yuNa	y u N a
malpa	m a l p a
yamarpa	y a m a r p a
bw~a	bw~ a
yanaNuriNu	y a n a N u r i N u
ananNu	a n a n N u
kana	k a n a
palku	p a l k u
kana	k a n a
yulNu	y u l N u
yura	y u r a
pam	p a m
apma	a p m a
ama	a m a
ama	a m a
ama	a m a
baygal	b a y g a l
yamaTi	y a m a T i
yamaTipakali	y a m a T i p a k a l i
piyin	p i y i n
mayi	m a y i
4arla	4 a r l a
anaNu	a n a N u
yapa	y a p a
palka	p a l k a
buba	b u b a
beN	b e N
relhe	r e l h e
pam	p a m
wanC	w a n C
budh~aN	b u dh~ a N
mari	m a r i
ilgura	i l g u r a
Numbar	N u m b a r
umbar	u m b a r
tarkuru	t a r k u r u
yulNu	y u l N u
karna	k a r n a
miniNiya	m i n i N i y a
miniNu	m i n i N u
bama	b a m a
bayabay	b a y a b a y
pam	p a m
mibi5	m i b i 5
wati	w a t i
bi	b i
taNk~ara	t a Nk~ a r a
raNaN	r a N a N
lagiban	l a g i b a n
bayadadu	b a y a d a d u
NarinT~a	N a r i nT~ a
Nari5bala	N a r i 5 b a l a
Tuwa	T u w a
mrigem	m r i g e m
ari	a r i
bru	b r u
yerdh~eriya	y e r dh~ e r i y a
bera5jin	b e r a 5 j i n
bari5ji	b a r i 5 j i
barindy~	b a r i n dy~
yibawan	y i b a w a n
yibiyan	y i b i y a n
nolgin	n o l g i n
anXaXi8a	a n X a X i 8 a
yuk	y u k
tikkak	t i k k a k
i5uk	i 5 u k
inuk	i n u k
taXu	t a X u
yuk	y u k
inuk	i n u k
inuk	i n u k
yux	y u x
yuk	y u k
d3ne	d 3 n e
dune	d u n e
dene	d e n e
d3ne	d 3 n e
nnd~e	n nd~ e
done	d o n e
do*	d o*
dadei	d a d e i
dEnE	d E n E
xosday	x o s d a y
asane	a s a n e
di*de	d i* d e
n3nkad3N	n 3 n k a d 3 N
dinCie	d i n C i e
di*di	d i* d i
gaten	g a t e n
dine	d i n e
dine	d i n e
nne	n n e
dina	d i n a
tenteh	t e n t e h
ya	y a
deXu*h	d e X u* h
lingit	l i n g i t
yanwat	y a n w a t
naN	n a N
xat7~a	x a t7~ a
pm~owsowinno	pm~ o w s o w i n n o
bemozowinno	b e m o z o w i n n o
awia	a w i a
hinEnitE	h i n E n i t E
matapi	m a t a p i
itapiyi	i t a p i y i
vostan	v o s t a n
bamadisijik	b a m a d i s i j i k
i8iniw	i 8 i n i w
neniwa	n e n i w a
nipitaki	n i p i t a k i
ike	i k e
anepawak	a n e p a w a k
nemana	n e m a n a
mitosenia	m i t o s e n i a
e* parso*n	e*   p a r s o* n
mimajuinu	m i m a j u i n u
skid3m	s k i d 3 m
peikuen	p e i k u e n
iyuw	i y u w
aniSinabe	a n i S i n a b e
gCiniSnabe	g C i n i S n a b e
aniSinabe	a n i S i n a b e
bemacid	b e m a c i d
mawsuwin	m a w s u w i n
pmac3th~	p m a c 3 th~
howan	h o w a n
kuwil	k u w i l
oL	o L
pegr~k	p e gr~ k
Sawd8arut	S a w d 8 a r u t
o*gweh	o* g w e h
oyada	o y a d a
ugwE	u g w E
u*gweh	u* g w e h
o*kw~eh	o* kw~ e h
o*kw~et	o* kw~ e t
o*gweh	o* g w e h
yo*wi	y o* w i
ano	a n o
gont"e	g o n t" e
xati	x a t i
sati	s a t i
hatak	h a t a k
hatak	h a t a k
isti	i s t i
ati	a t i
yati	y a t i
tom	t o m
tam	t a m
oni	o n i
Sa	S a
pan	p a n
panS	p a n S
tiCkan	t i C k a n
estok	e s t o k
sahniS	s a h n i S
hayanuh	h a y a n u h
kirika	k i r i k a
cahiks	c a h i k s
cahriks	c a h r i k s
ihos	i h o s
ihas	i h a s
wi*CaSta	w i* C a S t a
a*ya	a* y a
ha*ya	h a* y a
ye*	y e*
bir3bake	b i r 3 b a k e
bilapaka	b i l a p a k a
wiCaSta	w i C a S t a
nik~aSi*ga	n ik~ a S i* g a
tuwa	t u w a
tuwe waN	t u w e   w a N
3Nkw~a	3 N kw~ a
niaSi*ga	n i a S i* g a
nikaSi*ga	n i k a S i* g a
nihk~a	n i hk~ a
nihk~aSie	n i hk~ a S i e
nikaSika	n i k a S i k a
wa*kSik	w a* k S i k
waa*k	w a a* k
t"E7	t" E 7
k"y~ako*u*m	k"y~ a k o* u* m
t"owa	t" o w a
t"owa	t" o w a
t"ai	t" a i
t"ay	t" a y
t"oy	t" o y
t"aiide	t" a i i d e
t"ay	t" a y
ho77i	h o 7 7 i
taka	t a k a
tawi	t a w i
Laka	L a k a
taka	t a k a
Laxa	L a x a
Laka	L a k a
Laka	L a k a
Laga	L a g a
Laka	L a k a
Laka	L a k a
taga	t a g a
Laxa	L a x a
Laka	L a k a
Laka	L a k a
taka	t a k a
Laka	L a k a
taga	t a g a
Laka	L a k a
laka	l a k a
laka	l a k a
Laka	L a k a
tiakaw	t i a k a w
Laka	L a k a
Laka	L a k a
Laka	L a k a
LaLa	L a L a
Laka	L a k a
Laga	L a g a
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laga	L a g a
taka	t a k a
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laga	L a g a
taga	t a g a
taka	t a k a
taga	t a g a
laka	l a k a
taka	t a k a
Laka	L a k a
tega	t e g a
takah	t a k a h
Laka	L a k a
Laka	L a k a
okiS	o k i S
Laka	L a k a
Laka	L a k a
Laka	L a k a
tata	t a t a
Laka	L a k a
Laka	L a k a
Laka	L a k a
oliC	o l i C
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laka	L a k a
Laga	L a g a
Laka	L a k a
Laka	L a k a
taga	t a g a
taga	t a g a
L3ka	L 3 k a
sowa	s o w a
yoreme	y o r e m e
bato7i	b a t o 7 i
tevi	t e v i
tevi	t e v i
sino	s i n o
nuwu	n u w u
n3w3	n 3 w 3
n3w3	n 3 w 3
n3m3	n 3 m 3
n3Nw~3	n 3 Nw~ 3
n3m3	n 3 m 3
n3w3s	n 3 w 3 s
nu	n u
nuCiw3	n u C i w 3
n3w3	n 3 w 3
nimi	n i m i
taliSw~it	t a l i Sw~ i t
ataxa	a t a x a
taxat	t a x a t
takat	t a k a t
atax	a t a x
rehoi	r e h o i
tihoe	t i h o e
o7odh~am	o 7 o dh~ a m
n3m3	n 3 m 3
po7okw~	p o 7 o kw~
wism	w i s m
tgw~anm	t gw~ a n m
tgw~anm	t gw~ a n m
wism	w i s m
qo7as	q o 7 a s
Licuxw~adi	L i c u xw~ a d i
qu7as	q u 7 a s
Lcmaknik"	L c m a k n i k"
L"msta	L" m s t a
3cLtaNxw~	3 c L t a N xw~
a7wo	a 7 w o
m3stim3xw~	m 3 s t i m 3 xw~
m3stey3xw~	m 3 s t e y 3 xw~
aciLtalbixw~	a c i L t a l b i xw~
stiyoxw~	s t i y o xw~
sti7ixw~	s t i 7 i xw~
7aciLtalbixw~	7 a c i L t a l b i xw~
7aciLt3bixw~	7 a c i L t 3 b i xw~
3LtelN3xw~	3 L t e l N 3 xw~
3LtelN3xw~	3 L t e l N 3 xw~
3LtelN3xw~	3 L t e l N 3 xw~
sqalmixw~	s q a l m i xw~
qaymixw~	q a y m i xw~
st3lmex	s t 3 l m e x
m3stiy3xw~	m 3 s t i y 3 xw~
sCint	s C i n t
skint	s k i n t
uxw~almixw~	u xw~ a l m i xw~
sqelixw~	s q e l i xw~
sqilxw~	s q i l xw~
qlmuxw~	q l m u xw~
sqelixw~	s q e l i xw~
L"3l"sqal"xw~	L" 3 l" s q a l" xw~
qalmixw~	q a l m i xw~
stiw"at	s t i w" a t
nuLtamS	n u L t a m S
nawiLm"x	n a w i L m" x
skw~itiLtalmixw~	s kw~ i t i L t a l m i xw~
ama	a m a
maqlaq	m a q l a q
yepim	y e p i m
maidu	m a i d u
mayd3	m a y d 3
mayd3k	m a y d 3 k
miwi	m i w i
inniko	i n n i k o
koca	k o c a
miwi	m i w i
ullinego	u l l i n e g o
miwko	m i w k o
miw3	m i w 3
ick	i c k
wicp	w i c p
titoqan	t i t o q a n
tanan	t a n a n
gy~et	gy~ e t
gy~it	gy~ i t
win	w i n
wi	w i
yokuc	y o k u c
maih	m a i h
hicL3m	h i c L 3 m
ma	m a
yap"a	y a p" a
mim	m i m
mim7	m i m 7
hiC	h i C
L"a	L" a
Cimar	C i m a r
Cimal	C i m a l
is	i s
awt7$e	a wt7$ e
aCa7	a C a 7
kmikE	k m i k E
kaduwa	k a d u w a
bin	b i n
ya	y a
wa	w a
apa7	a p a 7
ipay	i p a y
apa7	a p a 7
ipa	i p a
pi7pE	p i 7 p E
ipa	i p a
apa	a p a
pa	p a
ma	m a
ipa	i p a
pa7a	p a 7 a
pa	p a
paCa	p a C a
ipa	i p a
ara	a r a
arara	a r a r a
t"anu	t" a n u
k"a	k" a
ku	k u
ku	k u
ku	k u
ku	k u
sa	s a
hwi	h w i
c7~a*	c7~ a*
ca*	c a*
tipaho	t i p a h o
nd~ipaho	nd~ i p a h o
nd~ipu	nd~ i p u
zE	z E
ca	c a
ca	c a
Cie	C i e
ca	c a
ca hm3y7gw~3	c a   h m 3 y 7 gw~ 3
ca	c a
naziu	n a z i u
iya*	i y a*
rai	r a i
na*7a	n a* 7 a
5iy3v3	5 i y 3 v 3
ray33	r a y 3 3
53v3	5 3 v 3
y3v3	y 3 v 3
gui	g u i
Ngw$i	Ngw$ i
y3v3	y 3 v 3
uri	u r i
C7~amo	C7~ a m o
wema	w e m a
bet7a	b e t 7 a
53h3	5 3 h 3
kh~a*7i	kh~ a* 7 i
xa*7i	x a* 7 i
xa*7i	x a* 7 i
kh~a*ni	kh~ a* n i
bEzo	b E z o
le	l e
i8iu*	i 8 i u*
Sme*de*	S m e* d e*
nidua	n i d u a
ni87~i*w*a*	n i 87~ i* w* a*
sw~ede	sw~ e d e
smun8~E	s m u n8~ E
Sun8~E	S u n8~ E
lE	l E
na7u	n a 7 u
Cuta	C u t a
Ch~uta	Ch~ u t a
Suta	S u t a
Suta	S u t a
Suta	S u t a
5i	5 i
Cuni	C u n i
Co*i	C o* i
Suta	S u t a
Cuta	C u t a
Suta	S u t a
Sita	S i t a
Suta	S u t a
Ch~ito	Ch~ i t o
Suta	S u t a
Suta	S u t a
wa	w a
Sabu	S a b u
Sabu	S a b u
wrabu	w r a b u
rabu	r a b u
Sabu	S a b u
Sabu	S a b u
Sabo	S a b o
beni	b e n i
miet	m i e t
my~et	my~ e t
ben	b e n
5ati*	5 a t i*
nten	n t e n
benE7	b e n E 7
xa byi	x a   b y i
bini	b i n i
bene	b e n e
m3n3	m 3 n 3
kiyu	k i y u
pene7	p e n e 7
meny~	m e ny~
bny~eC	b ny~ e C
ben	b e n
b3n	b 3 n
men	m e n
mb~eky~	mb~ e ky~
b3n	b 3 n
men	m e n
bene	b e n e
nte*	n t e*
peni	p e n i
beni	b e n i
mEn	m E n
ben	b e n
mieC	m i e C
buny~	b u ny~
e*ne7	e* n e 7
vEnE	v E n E
ben37	b e n 3 7
bene	b e n e
benaC	b e n a C
kwh~iripu	k wh~ i r i p u
kh~uiripu	kh~ u i r i p u
kuiripu	k u i r i p u
kw~iripu	kw~ i r i p u
p3n	p 3 n
kristiano	k r i s t i a n o
lapan	l a p a n
lapanak	l a p a n a k
lapanak	l a p a n a k
lapanaki	l a p a n a k i
kristiano	k r i s t i a n o
karastianu	k a r a s t i a n u
CiSku	C i S k u
kristyanuh	k r i s t y a n u h
kristyano	k r i s t y a n o
lataman	l a t a m a n
karstyanuh	k a r s t y a n u h
ta7iSkuwit	t a 7 i S k u w i t
kristianu	k r i s t i a n u
kristiano	k r i s t i a n o
elemLa7a	e l e m L a 7 a
Sans	S a n s
asans	a s a n s
ho7oy	h o 7 o y
p3n dam	p 3 n   d a m
h3y	h 3 y
hayu	h a y u
haykak	h a y k a k
p3n	p 3 n
ha7ay	h a 7 a y
hayaw	h a y a w
p35 Ca7	p 3 5   C a 7
ha7	h a 7
p3n	p 3 n
wit	w i t
nipilan	n i p i l a n
nas3yi	n a s 3 y i
nipinaha	n i p i n a h a
nas3yi	n a s 3 y i
5ipinah	5 i p i n a h
anima	a n i m a
wunak	w u n a k
naq	n a q
winaq	w i n a q
winaq	w i n a q
inik	i n i k
kiSta5u	k i S t a 5 u
winik	w i n i k
kiSta5u	k i S t a 5 u
winik	w i n i k
winikop	w i n i k o p
winik	w i n i k
anma7	a n m a 7
anima	a n i m a
kristy~an	k r i s ty~ a n
winaq	w i n a q
tenek	t e n e k
mak	m a k
xal	x a l
anma	a n m a
anma	a n m a
ah	a h
mak	m a k
kristian	k r i s t i a n
winaq	w i n a q
winaq	w i n a q
wn3q	w n 3 q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
wnaq	w n a q
winaq	w i n a q
winaq	w i n a q
unaq	u n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
onaq	o n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
wnaq	w n a q
unaq	u n a q
winaq	w i n a q
winik	w i n i k
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
iCin	i C i n
wunaq	w u n a q
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
Sxal	S x a l
winik	w i n i k
mak	m a k
mak	m a k
winikil	w i n i k i l
winaq	w i n a q
kristy~3nox	k r i s ty~ 3 n o x
kristy~anox	k r i s ty~ a n o x
winaq	w i n a q
winaq	w i n a q
Sxal	S x a l
winaq	w i n a q
winaq	w i n a q
kristyana	k r i s t y a n a
winik	w i n i k
winaq	w i n a q
winaq	w i n a q
winik	w i n i k
inik	i n i k
k"ima	k" i m a
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
winik	w i n i k
mak	m a k
winik	w i n i k
anima	a n i m a
winaq	w i n a q
wanaq	w a n a q
wnaq	w n a q
winaq	w i n a q
Sxal	S x a l
Sxal	S x a l
wink~il	w i nk~ i l
kristy~ano	k r i s ty~ a n o
kristiano	k r i s t i a n o
va7	v a 7
kriSCano	k r i S C a n o
kristy~anu	k r i s ty~ a n u
vinik	v i n i k
winik	w i n i k
winaq	w i n a q
wnaq	w n a q
winaq	w i n a q
kristy~ano	k r i s ty~ a n o
eb	e b
wnaq	w n a q
kristy~an	k r i s ty~ a n
kristy~ana	k r i s ty~ a n a
winaq	w i n a q
winaq	w i n a q
winaq	w i n a q
kriSCnano	k r i S C n a n o
tol	t o l
muih	m u i h
Sikka	S i k k a
Sika	S i k a
ik3	i k 3
k3gg3b3	k 3 g g 3 b 3
api	a p i
m3ska	m 3 s k a
uwa	u w a
ette	e t t e
ni	n i
tule	t u l e
tulemala	t u l e m a l a
dule	d u l e
b3di	b 3 d i
bari	b a r i
maleku	m a l e k u
mutkuli	m u t k u l i
abi	a b i
yavsrok	y a v s r o k
keki	k e k i
serco	s e r c o
wage	w a g e
ino bega	i n o   b e g a
ebega	e b e g a
a7i	a 7 i
