originals	tokenized
ani	a n i
am3n	a m 3 n
am3n	a m 3 n
ne	n e
ni	n i
am	a m
yin	y i n
yin	y i n
yin	y i n
yin	y i n
yin	y i n
mi	m i
my~a	my~ a
arun	a r u n
nik	n i k
neuk	n e u k
mi	m i
un3	u n 3
un3	u n 3
un3	u n 3
uga	u g a
yes	y e s
yes	y e s
es	e s
aS	a S
as	a s
Es	E s
mE	m E
mi	m i
mi	m i
my~e	my~ e
me	m e
me	m e
me	m e
mi	m i
mi	m i
Ek	E k
ix	i x
ig	i g
ik	i k
ik3	i k 3
ix	i x
yEy	y E y
ik	i k
ik	i k
Ei	E i
Eg	E g
ik	i k
ik	i k
Eg	E g
ik	i k
yEx	y E x
yex	y e x
ix	i x
Ex	E x
ik	i k
ik	i k
yEi	y E i
je	j e
yeg	y e g
ik	i k
ik	i k
hik	h i k
ix	i x
ik	i k
Ek	E k
ik	i k
ax	a x
ekan	e k a n
Eg	E g
iS	i S
a	a
3	3
ix	i x
ik	i k
ik3	i k 3
i	i
yog	y o g
ik3	i k 3
ik	i k
iX	i X
ix	i x
ik3	i k 3
ego	e g o
exo	e x o
ma*i*	m a* i*
m3	m 3
moe	m o e
mu	m u
me*	m e*
me*	m e*
mo*	m o*
me*	m e*
me	m e
ami	a m i
au	a u
mai	m a i
me*	m e*
ham	h a m
m3	m 3
ma	m a
mos	m o s
mo	m o
me	m e
me	m e
mai*	m a i*
moh	m o h
me	m e
u*	u*
mui	m u i
moh	m o h
hau	h a u
awa	a w a
hu*	h u*
moi	m o i
au	a u
me	m e
ai	a i
Ej	E j
m3i	m 3 i
moh	m o h
mu	m u
hu*	h u*
me	m e
u*c	u* c
me	m e
awa	a w a
a*	a*
hu*	h u*
moh	m o h
mo*	m o*
me*	m e*
hu*	h u*
moh	m o h
moh	m o h
me	m e
a	a
me	m e
mo	m o
mo	m o
mE	m E
mai*	m a i*
me	m e
mo*	m o*
mo*	m o*
me*	m e*
awn	a w n
mo*	m o*
mo*	m o*
ma*i*	m a* i*
ya	y a
mo	m o
boh	b o h
awa	a w a
mo	m o
mo*	m o*
me*	m e*
ma	m a
moh	m o h
mo*	m o*
ahu*	a h u*
me	m e
a	a
mE*	m E*
hu*	h u*
ma	m a
me	m e
m3	m 3
me	m e
me	m e
me	m e
h3*m	h 3* m
ma	m a
hau	h a u
me*	m e*
mi	m i
hu*	h u*
mE*	m E*
h3rne	h 3 r n e
moh	m o h
ama	a m a
ma*	m a*
m3	m 3
u*	u*
awa	a w a
m5u	m 5 u
me	m e
au	a u
me*	m e*
me*	m e*
mo	m o
ahaN	a h a N
amha	a m h a
au	a u
awa	a w a
me*	m e*
me*	m e*
me*	m e*
me*	m e*
m3i	m 3 i
moi	m o i
me*	m e*
ma*i	m a* i
moh	m o h
m3	m 3
mui	m u i
m3i	m 3 i
me	m e
moh	m o h
moe*	m o e*
hau	h a u
3h3m	3 h 3 m
mo*	m o*
mi	m i
ma	m a
mo	m o
aCh~on	a Ch~ o n
aCh~en	a Ch~ e n
me	m e
mai	m a i
me*	m e*
u*	u*
3*	3*
me*	m e*
ma	m a
mah	m a h
mo*h	m o* h
mo*	m o*
mo*h	m o* h
me	m e
me*	m e*
mama	m a m a
me	m e
me	m e
hu*	h u*
hu*	h u*
me	m e
mE	m E
me*	m e*
moh	m o h
a	a
me*	m e*
mE*	m E*
me	m e
m3	m 3
ma*	m a*
awa	a w a
meEtto	m e E t t o
me	m e
me*	m e*
me*	m e*
may	m a y
me	m e
mai	m a i
a	a
az3m	a z 3 m
z3	z 3
z3	z 3
mah	m a h
man	m a n
man	m a n
z3	z 3
z3	z 3
z3	z 3
woz	w o z
z3	z 3
woz	w o z
z3	z 3
z3	z 3
z3	z 3
mEn	m E n
mEn	m E n
z3	z 3
woz	w o z
z3	z 3
z3	z 3
me	m e
z3	z 3
z3*	z 3*
Ez	E z
min	m i n
ez	e z
z3	z 3
a	a
z3	z 3
z3	z 3
z3	z 3
zo	z o
z3	z 3
z3	z 3
z3	z 3
z3	z 3
mun	m u n
z3	z 3
z3	z 3
z3	z 3
az	a z
Ez	E z
EZ	E Z
z3	z 3
z3	z 3
man	m a n
z3	z 3
z3	z 3
z3	z 3
a	a
me	m e
woz	w o z
z3	z 3
woz	w o z
o	o
z3	z 3
man	m a n
z3*	z 3*
z3	z 3
aez	a e z
eyz	e y z
z3	z 3
z3	z 3
mEn	m E n
woz	w o z
zoh	z o h
z3	z 3
eg	e g
egy	e g y
egXom	e g X o m
me	m e
yo	y o
Z3	Z 3
c3	c 3
yo	y o
jo	j o
Zo	Z o
Zo	Z o
eyu	e y u
j3	j 3
yo	y o
jo	j o
yo	y o
io	i o
yo	y o
ego	e g o
mi	m i
Zu	Z u
ieu	i e u
eu	e u
ew	e w
yEu	y E u
deo	d e o
iu	i u
eu	e u
yo	y o
yo	y o
eu	e u
siNuru	s i N u r u
ya	y a
ya	y a
az	a z
ya	y a
ya	y a
ya	y a
ya	y a
ya	y a
yas	y a s
ya	y a
azu	a z u
ya	y a
ya	y a
ya	y a
ya	y a
yaz	y a z
yo	y o
ya	y a
n3S	n 3 S
5uk	5 u k
53S	5 3 S
mina	m i n a
ma	m a
mo7	m o 7
minE	m i n E
miE	m i E
mie	m i e
minama	m i n a m a
minE	m i n E
m3y	m 3 y
min	m i n
m3y3	m 3 y 3
m3i	m 3 i
mon	m o n
mon	m o n
my~e	my~ e
my~e	my~ e
mon	m o n
mun	m u n
mun	m u n
mon	m o n
mun	m u n
mon	m o n
man3	m a n 3
men	m e n
mon	m o n
min	m i n
5e	5 e
many~	m a ny~
ma5	m a 5
m3n	m 3 n
man	m a n
mat	m a t
en	e n
ien	i e n
en	e n
ma	m a
am	a m
me	m e
m3	m 3
bi	b i
bi	b i
bi	b i
bi	b i
py~i	py~ i
bi	b i
py~i	py~ i
bu	b u
pi	p i
bi	b i
bi	b i
be	b e
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
mi	m i
bi	b i
bi	b i
bi	b i
mi	m i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
bi	b i
man	m a n
mEn	m E n
mEn	m E n
men	m e n
man	m a n
min	m i n
mEn	m E n
mEn	m E n
eb3	e b 3
3zim	3 z i m
men	m e n
mEn	m E n
mEn	m E n
min	m i n
mEn	m E n
mEn	m E n
mEn	m E n
mEn	m E n
mEn	m E n
min	m i n
men	m e n
my~a5	my~ a 5
men	m e n
men	m e n
min	m i n
min	m i n
mEn	m E n
men	m e n
men	m e n
man	m a n
mEn	m E n
mEn	m E n
min	m i n
mEn	m E n
min	m i n
men	m e n
mEn	m E n
mEn	m E n
mEn	m E n
mEn	m E n
min	m i n
men	m e n
men	m e n
mEn	m E n
man	m a n
man	m a n
man	m a n
mEn	m E n
min	m i n
mEn	m E n
man	m a n
ben	b e n
ben	b e n
men	m e n
men	m e n
men	m e n
mEn	m E n
met	m e t
met	m e t
ni	n i
5i	5 i
5i	5 i
5i	5 i
5i	5 i
5i	5 i
ay	a y
E	E
ay	a y
ya	y a
at	a t
ad	a d
ade	a d e
di	d i
ay	a y
ya	y a
ad3	a d 3
ad	a d
x3mm3	x 3 m m 3
x3m	x 3 m
x3mmo	x 3 m m o
kma	k m a
k3ma	k 3 m a
k3m	k 3 m
ku7ani	k u 7 a n i
ku7ani	k u 7 a n i
kani	k a n i
ku7ani	k u 7 a n i
ku7ani	k u 7 a n i
anokay	a n o k a y
co7okay	c o 7 o k a y
anokay	a n o k a y
cokay	c o k a y
ku7ani	k u 7 a n i
ku7ani	k u 7 a n i
kani	k a n i
ku7ani	k u 7 a n i
anokay	a n o k a y
ku7ani	k u 7 a n i
ku7ani	k u 7 a n i
anoka	a n o k a
ku7ani	k u 7 a n i
kuani	k u a n i
ku7ani	k u 7 a n i
co7okay	c o 7 o k a y
cokay	c o k a y
anoka	a n o k a
ku7ani	k u 7 a n i
ku	k u
an	a n
boku	b o k u
ore	o r e
wate	w a t e
wataSi	w a t a S i
waN	w a N
ban	b a n
wan	w a n
wa	w a
wan	w a n
waN	w a N
watasi	w a t a s i
banu	b a n u
anu	a n u
wanu	w a n u
wanu	w a n u
na	n a
sara	s a r a
sara	s a r a
s3	s 3
s3	s 3
s3Xw~a	s 3 Xw~ a
dEnE	d E n E
din	d i n
dEn	d E n
dun	d u n
dun	d u n
dun	d u n
dun	d u n
dun	d u n
dun	d u n
